host_id,neighbourhood,room_type,listings_count,availability
1010242,2,1,1,321
1011426,2,2,1,291
1012691,2,1,1,269
1013131,3,1,2,0
12221,1,2,2,306
1014639,2,1,1,0
1017473,2,1,1,328
1018472,2,1,2,60
686813,2,2,4,14
975030,2,2,2,350
1024158,2,1,1,324
1024355,2,1,1,0
737585,3,1,2,317
1031148,4,2,1,287
306739,2,1,4,326
405467,2,1,1,119
272730,3,1,1,176
1094178,3,1,1,245
1094311,3,1,1,57
1096084,2,1,1,1
1097545,3,3,2,283
800223,3,2,1,130
527802,3,1,1,182
1039149,3,2,1,326
1105513,3,2,3,349
783956,2,2,1,67
1098087,2,2,1,289
1109658,5,2,1,280
5926,3,2,3,294
1112560,2,2,2,218
1113737,3,1,1,4
864735,4,1,5,335
1115218,3,1,2,311
17571,2,2,2,348
1117798,3,1,2,83
1124428,3,2,2,183
1120280,3,1,1,272
1124447,3,2,2,333
1125481,3,2,1,122
447754,2,1,1,203
1139574,3,2,1,365
921500,3,2,2,296
1142444,4,2,1,208
918087,2,2,3,282
1144721,2,1,1,1
1144415,3,1,1,128
846050,3,2,1,0
4887492,3,2,10,338
726197,4,2,1,334
22486,2,2,6,363
1153993,3,1,1,76
1105513,3,2,3,338
1157620,3,1,1,281
22486,2,2,6,355
1161201,2,2,2,365
991380,2,1,1,0
1169698,4,1,1,27
1112560,2,2,2,149
1158300,2,1,1,358
663879,2,2,2,293
1177497,2,2,9,356
1177947,5,1,1,202
815977,2,1,2,135
1117798,3,1,2,97
562166,5,2,1,365
959931,3,1,1,44
209460,2,1,4,336
1190906,3,1,1,111
1191142,2,1,1,297
290247,3,1,1,166
1192424,3,1,1,42
1192610,3,2,1,338
1194620,2,2,1,356
1194377,2,1,1,314
218951,2,1,1,75
1196848,3,1,1,232
1097545,3,2,2,314
507304,2,1,1,0
709334,3,1,3,269
1202751,2,2,1,142
1203500,2,1,1,348
1011579,2,1,1,273
12221,1,2,2,270
292204,3,1,3,296
1207399,3,2,1,91
1208630,3,2,1,303
1208731,2,1,1,95
1204785,2,1,2,288
1184442,3,2,1,305
764836,2,2,5,350
1216362,2,2,5,361
1217241,2,1,1,310
763420,3,1,1,321
1216362,2,2,5,365
1220414,3,1,1,300
1153558,3,1,1,273
1012895,4,2,1,347
1143899,3,1,1,103
16179,3,1,2,323
902054,3,1,1,195
1217923,2,2,5,364
1229653,3,1,1,8
1229984,4,2,1,4
1230560,3,2,5,266
1232627,3,1,1,346
1234135,4,2,3,363
1234405,2,1,1,289
1203396,3,1,1,364
83257,3,2,2,311
1105513,3,2,3,349
299868,3,1,1,295
1236070,3,1,1,172
1236817,3,1,1,306
1240820,2,1,3,306
4166168,2,1,3,26
1151987,3,1,1,0
1241595,3,2,1,315
1146958,3,1,3,321
1234135,4,2,3,364
1246286,3,1,1,0
55469,2,2,5,365
1249144,3,1,1,270
353227,2,2,1,269
1251879,3,1,2,304
25781,2,1,1,0
1256874,4,1,1,310
255748,2,2,4,294
1257309,3,1,1,0
136962,2,2,2,30
1258363,2,1,1,0
1115321,2,2,3,6
1124447,3,1,2,291
136962,2,1,2,7
1263176,2,2,1,336
1115321,2,2,3,5
1264543,3,1,1,313
558568,2,1,5,277
1177497,2,2,9,365
1267021,4,2,5,365
1267556,2,3,2,364
909877,3,1,1,273
1272625,4,2,1,341
1177497,2,2,9,364
974472,3,1,1,21
1273825,2,1,1,356
1230560,3,2,5,212
1148395,3,1,4,279
1276497,2,2,1,365
1783,3,1,1,276
1277176,3,2,1,312
288711,2,1,1,265
614507,3,2,1,356
1281255,2,1,1,332
637451,3,2,3,353
1283582,3,1,1,273
714200,3,2,1,325
1260921,1,2,2,318
1288460,2,1,1,339
825022,3,1,1,329
637451,3,2,3,348
283604,2,2,1,238
1292250,3,1,1,0
1217923,2,2,5,362
3647,4,1,3,350
936630,3,1,1,289
1217923,2,2,5,365
1217923,2,2,5,365
1234135,4,2,3,357
1299166,2,2,2,363
220427,3,1,1,243
1300049,3,1,1,183
1300381,3,1,1,0
1303029,3,2,2,26
417504,2,1,28,365
605463,3,1,3,299
1304519,3,1,1,217
1306587,3,1,1,20
966806,2,1,1,205
1309145,3,1,1,325
758441,2,2,4,359
1311398,2,1,1,32
1311870,3,1,1,0
1313417,3,2,1,284
1313306,3,2,1,355
116382,2,2,10,329
1314834,3,1,1,338
1278802,2,2,1,329
1317343,3,2,1,280
1321402,2,2,1,365
297769,3,2,2,334
1294674,2,2,2,325
1325961,3,2,2,0
552343,2,1,1,154
417504,2,1,28,365
417504,2,1,28,365
417504,2,1,28,361
60885,2,1,1,78
1331850,3,1,1,0
1332108,3,2,1,103
417504,2,1,28,365
417504,2,1,28,365
417504,2,1,28,353
417504,2,1,28,365
417504,2,1,28,365
417504,2,1,28,365
417504,2,1,28,365
417504,2,1,28,365
417504,2,1,28,365
1333852,3,2,2,28
1333973,4,2,1,0
1267021,4,2,5,359
417504,2,1,28,365
302936,2,2,4,166
1340007,2,1,1,343
454593,3,1,1,305
1302029,2,2,1,134
1342645,3,1,1,124
1343630,2,1,1,317
1343863,3,1,1,125
1319219,2,3,5,0
146167,3,1,1,304
506779,3,1,1,364
1345745,2,2,1,365
1177497,2,2,9,364
1347037,2,1,1,263
1348494,2,2,1,311
1123923,2,2,2,269
1356046,2,2,2,324
1356706,3,2,1,356
1358312,2,1,1,291
1354758,2,1,2,250
1358840,3,1,1,324
1233267,4,2,1,365
436599,3,2,1,60
1360043,3,2,1,7
1359970,2,2,1,304
1360198,5,1,3,336
608908,3,2,1,258
1349430,2,1,1,308
138069,2,1,1,336
275582,3,1,2,25
1360198,5,1,3,313
1199466,2,1,1,0
1365997,3,1,1,341
1367090,1,2,7,310
1319219,2,3,5,0
1367316,2,1,5,343
1360296,2,2,3,333
480943,3,1,2,282
290157,3,1,1,328
696482,2,1,1,276
1370358,3,1,1,0
1370474,3,1,1,304
1372786,3,3,1,54
664859,3,1,1,26
1334621,4,2,1,92
1376385,3,1,1,160
1376778,2,1,1,333
605463,3,1,3,284
1380060,2,1,1,96
1020539,3,2,2,349
1381258,2,1,1,2
1381998,3,1,1,349
1382749,2,1,1,0
1384111,4,2,1,354
1384559,3,1,1,282
1230560,3,2,5,239
305972,3,2,3,347
21188,2,2,1,63
1123923,2,2,2,108
1317446,4,1,1,310
1390947,3,1,1,0
1391186,3,1,1,0
1392440,3,1,1,0
1394190,3,1,1,125
1394719,2,2,1,365
1397115,3,1,1,342
1397450,2,1,1,0
1136663,3,1,1,325
519554,3,1,4,324
1398809,3,1,1,75
1809768,2,1,1,85
1399307,2,2,1,0
1399910,3,1,1,283
1400602,3,1,3,273
1401556,2,2,1,83
638721,3,2,3,335
686813,2,2,4,273
1402275,2,2,1,336
931228,2,2,1,0
164675,2,2,1,274
661399,3,2,1,89
770472,2,1,1,321
1406773,3,1,1,0
1380703,2,1,1,0
1378790,3,2,1,61
1408733,3,1,1,28
1409214,2,2,1,345
1410252,3,1,1,13
1410714,2,2,1,335
1411028,3,1,1,236
1413098,4,2,1,292
1342637,2,1,1,365
1366310,4,2,2,337
1415590,3,1,1,0
1416327,3,3,2,337
54622,2,2,2,365
1417489,2,2,1,353
1312920,3,1,2,355
1418427,3,3,2,355
1217923,2,1,5,352
1417166,2,2,2,115
1417166,2,2,2,75
1419809,2,1,1,331
1387370,3,1,1,0
1423139,3,1,1,206
1423798,3,1,1,313
1423613,3,1,1,335
1195295,3,1,1,342
1423853,3,2,1,0
1425708,2,2,1,82
1185990,2,1,2,281
1402817,2,1,1,0
605463,3,1,3,286
570464,3,1,1,326
1429642,3,2,1,0
54622,2,2,2,0
1433442,2,1,1,83
1434224,3,2,1,0
1434283,3,1,1,315
1434654,2,1,1,32
1434931,2,1,1,336
1436404,3,1,1,309
1438929,3,1,1,170
1437861,3,1,1,0
1440246,4,2,1,353
1417757,2,1,1,281
1442555,3,1,1,283
970385,3,1,3,253
130901,2,1,1,313
956914,3,1,1,11
305972,3,2,3,343
1445729,2,2,1,0
1446764,3,1,1,0
448655,2,2,1,295
1447168,2,1,1,287
1447684,2,2,3,341
1448309,3,1,1,0
1448432,3,1,1,273
793765,3,1,1,273
1451517,3,2,2,0
1451723,3,2,1,323
764836,2,2,5,350
1242797,2,2,1,304
1455825,3,1,1,305
287705,3,1,1,2
537478,4,2,3,256
1420300,2,1,2,266
240427,2,1,2,50
401903,3,1,1,312
961316,3,2,1,342
1460725,3,2,7,365
1465081,3,1,1,58
1460725,3,3,7,274
217434,2,1,1,28
1465519,3,2,3,0
34128,2,1,1,0
1331832,3,1,1,266
70614,3,2,1,0
1468376,3,1,1,0
1469036,3,2,3,0
1469036,3,2,3,325
1451517,3,2,2,327
36897,3,1,1,225
1473702,3,1,1,0
322934,2,1,1,313
1474071,2,2,1,325
1474637,2,2,1,2
511175,3,1,2,227
1474539,3,1,1,347
